10:55:47.547 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
10:55:48.990 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\清研\nacos\config
10:55:48.997 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of a8d41ee3-dd18-4dd8-afea-07bdb5f1ee81_config-0
10:55:49.127 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 74 ms to scan 1 urls, producing 3 keys and 6 values 
10:55:49.218 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 46 ms to scan 1 urls, producing 4 keys and 9 values 
10:55:49.258 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 34 ms to scan 1 urls, producing 3 keys and 10 values 
10:55:49.319 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 61 ms to scan 1 urls, producing 1 keys and 5 values 
10:55:49.449 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 130 ms to scan 1 urls, producing 1 keys and 7 values 
10:55:49.495 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 36 ms to scan 1 urls, producing 2 keys and 8 values 
10:55:49.529 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a8d41ee3-dd18-4dd8-afea-07bdb5f1ee81_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:55:49.530 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a8d41ee3-dd18-4dd8-afea-07bdb5f1ee81_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$452/0x0000000800416840
10:55:49.530 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a8d41ee3-dd18-4dd8-afea-07bdb5f1ee81_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$453/0x0000000800416c40
10:55:49.530 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a8d41ee3-dd18-4dd8-afea-07bdb5f1ee81_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
