10:56:05.333 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
10:56:08.538 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\清研\nacos\config
10:56:08.538 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0
10:56:08.635 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 65 ms to scan 1 urls, producing 3 keys and 6 values 
10:56:08.717 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 50 ms to scan 1 urls, producing 4 keys and 9 values 
10:56:08.769 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 37 ms to scan 1 urls, producing 3 keys and 10 values 
10:56:08.804 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 33 ms to scan 1 urls, producing 1 keys and 5 values 
10:56:08.858 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 54 ms to scan 1 urls, producing 1 keys and 7 values 
10:56:08.903 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 36 ms to scan 1 urls, producing 2 keys and 8 values 
10:56:08.919 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:56:08.919 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$447/0x0000000800406c40
10:56:08.919 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$448/0x0000000800406040
10:56:08.919 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:56:08.919 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:56:08.967 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:56:13.082 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:56:15.372 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:56:17.565 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] try to re connect to a new server ,server is  not appointed,will choose a random server.
10:56:17.565 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:56:17.565 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
10:56:17.653 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
10:56:19.178 [main] INFO  c.r.g.RuoYiGatewayApplication - [logStartupProfileInfo,663] - The following profiles are active: dev
10:56:22.459 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] fail to connect server,after trying 1 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
10:56:25.172 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] fail to connect server,after trying 2 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
10:56:27.206 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayFilter,144] - [Sentinel SpringCloudGateway] register SentinelGatewayFilter with order: -2147483648
10:56:27.489 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,63] - initializer namespace from System Property : null
10:56:27.489 [main] INFO  c.a.n.client.naming - [call,69] - initializer namespace from System Environment :null
10:56:27.489 [main] INFO  c.a.n.client.naming - [call,79] - initializer namespace from System Property :null
10:56:27.520 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54
10:56:27.520 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54]RpcClient init label, labels={module=naming, source=sdk}
10:56:27.520 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54]RpcClient init, ServerListFactory =com.alibaba.nacos.client.naming.core.ServerListManager
10:56:27.520 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54]Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
10:56:27.520 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54]Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
10:56:27.520 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:56:27.756 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] fail to connect server,after trying 3 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
10:56:29.806 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:56:30.469 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] fail to connect server,after trying 4 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
10:56:32.080 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:56:33.433 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] fail to connect server,after trying 5 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
10:56:34.478 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:56:34.479 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
10:56:34.478 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4ddf8a6-9bf6-4d0a-a611-ddc782feeb54] try to re connect to a new server ,server is  not appointed,will choose a random server.
10:56:36.031 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayBlockExceptionHandler,134] - [Sentinel SpringCloudGateway] register SentinelGatewayBlockExceptionHandler
10:56:36.573 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40ebf9d8-e24e-4644-aff8-7fc6c35fad70_config-0] fail to connect server,after trying 6 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
10:56:36.636 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,384] - [config_rpc_client] [subscribe] sentinel-ruoyi-gateway+DEFAULT_GROUP
10:56:36.649 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,173] - [config_rpc_client] [add-listener] ok, tenant=, dataId=sentinel-ruoyi-gateway, group=DEFAULT_GROUP, cnt=1
