08:48:56.233 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
08:48:56.933 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\清研\nacos\config
08:48:56.933 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0
08:48:56.987 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 30 ms to scan 1 urls, producing 3 keys and 6 values 
08:48:57.013 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 4 keys and 9 values 
08:48:57.031 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 3 keys and 10 values 
08:48:57.040 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 1 keys and 5 values 
08:48:57.056 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 1 keys and 7 values 
08:48:57.064 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 2 keys and 8 values 
08:48:57.072 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
08:48:57.072 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$452/0x000000080040b040
08:48:57.072 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$453/0x000000080040b440
08:48:57.072 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
08:48:57.072 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
08:48:57.080 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
08:48:59.970 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
08:49:02.116 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
08:49:04.149 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0] try to re connect to a new server ,server is  not appointed,will choose a random server.
08:49:04.149 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
08:49:04.149 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
08:49:04.211 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
08:49:04.540 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,53] - isMultiInstance:false
08:49:05.528 [main] INFO  c.r.s.RuoYiSystemApplication - [logStartupProfileInfo,663] - The following profiles are active: dev
08:49:08.319 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0] fail to connect server,after trying 1 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
08:49:08.695 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9201"]
08:49:08.695 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
08:49:08.695 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.53]
08:49:08.993 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
08:49:10.392 [main] INFO  c.a.d.p.DruidDataSource - [init,998] - {dataSource-1,master} inited
08:49:10.392 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,169] - dynamic-datasource - add a datasource named [master] success
08:49:10.392 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,249] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
08:49:10.561 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0] fail to connect server,after trying 2 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
08:49:12.893 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0] fail to connect server,after trying 3 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
08:49:14.441 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,226] - dynamic-datasource start closing ....
08:49:14.455 [main] INFO  c.a.d.p.DruidDataSource - [close,2071] - {dataSource-1} closing ...
08:49:14.457 [main] INFO  c.a.d.p.DruidDataSource - [close,2144] - {dataSource-1} closed
08:49:14.457 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,230] - dynamic-datasource all closed success,bye
08:49:14.457 [main] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
08:49:15.336 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [97cf62ed-5d1d-4106-953c-c2eb3aee0395_config-0] fail to connect server,after trying 4 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
08:55:03.706 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
08:55:04.348 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\清研\nacos\config
08:55:04.348 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of fd2b883d-8730-463f-907c-f57cd881cd6e_config-0
08:55:04.388 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 24 ms to scan 1 urls, producing 3 keys and 6 values 
08:55:04.412 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 4 keys and 9 values 
08:55:04.420 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 3 keys and 10 values 
08:55:04.436 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 1 keys and 5 values 
08:55:04.444 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 1 keys and 7 values 
08:55:04.460 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 2 keys and 8 values 
08:55:04.460 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd2b883d-8730-463f-907c-f57cd881cd6e_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
