10:56:51.053 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\清研\nacos\config
10:56:51.058 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0
10:56:51.126 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 45 ms to scan 1 urls, producing 3 keys and 6 values 
10:56:51.172 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 22 ms to scan 1 urls, producing 4 keys and 9 values 
10:56:51.196 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 3 keys and 10 values 
10:56:51.215 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 1 keys and 5 values 
10:56:51.235 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 1 keys and 7 values 
10:56:51.259 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 2 keys and 8 values 
10:56:51.263 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:56:51.264 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$443/0x00000008003ae840
10:56:51.264 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$444/0x00000008003aec40
10:56:51.265 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:56:51.266 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:56:51.277 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:56:55.339 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:56:57.580 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
10:56:59.873 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0] try to re connect to a new server ,server is  not appointed,will choose a random server.
10:56:59.875 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:56:59.875 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
10:56:59.960 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
10:57:01.357 [main] INFO  c.r.m.m.RuoYiMonitorApplication - [logStartupProfileInfo,663] - The following profiles are active: dev
10:57:04.770 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0] fail to connect server,after trying 1 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
10:57:05.680 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9100"]
10:57:05.682 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
10:57:05.683 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.53]
10:57:05.913 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
10:57:06.807 [main] INFO  c.a.c.s.SentinelWebAutoConfiguration - [addInterceptors,80] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
10:57:07.466 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2279eb6b-50d2-444e-ba5f-c9f10d8b1be1_config-0] fail to connect server,after trying 2 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
10:57:09.489 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,63] - initializer namespace from System Property : null
10:57:09.490 [main] INFO  c.a.n.client.naming - [call,69] - initializer namespace from System Environment :null
10:57:09.490 [main] INFO  c.a.n.client.naming - [call,79] - initializer namespace from System Property :null
10:57:09.510 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of db4e1a87-3259-4fe9-8201-b2cf7c851a1b
10:57:09.510 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [db4e1a87-3259-4fe9-8201-b2cf7c851a1b]RpcClient init label, labels={module=naming, source=sdk}
10:57:09.512 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [db4e1a87-3259-4fe9-8201-b2cf7c851a1b]RpcClient init, ServerListFactory =com.alibaba.nacos.client.naming.core.ServerListManager
10:57:09.512 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [db4e1a87-3259-4fe9-8201-b2cf7c851a1b]Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
10:57:09.513 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [db4e1a87-3259-4fe9-8201-b2cf7c851a1b]Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
